"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.764432917E1,-3.896949768E1,-8.776702881E-1,-2.881402588E1
3.765433717E1,-3.911614990E1,-8.156280518E-1,-2.867657471E1
3.766434517E1,-3.897111511E1,-9.771575928E-1,-2.804364014E1
3.767435217E1,-3.902513123E1,-1.110229492E0,-2.856072998E1
3.768436017E1,-3.916821289E1,-1.103881836E0,-2.851873779E1
3.769436817E1,-3.913235474E1,-1.237030029E0,-2.862921143E1
3.770437617E1,-3.927406311E1,-1.142044067E0,-2.906988525E1
3.771438317E1,-3.918898010E1,-1.219192505E0,-2.851214600E1
3.772439117E1,-3.937367249E1,-1.241073608E0,-2.896380615E1
3.773439917E1,-3.931500244E1,-1.234100342E0,-2.891448975E1
3.774440717E1,-3.937141418E1,-1.297073364E0,-2.841278076E1
3.775441417E1,-3.882865906E1,-6.075897217E-1,-2.887188721E1
3.776442217E1,-3.906195068E1,-6.836700439E-1,-2.828131104E1
3.777443017E1,-3.925337219E1,-6.310882568E-1,-2.872601318E1
3.778443717E1,-3.924121094E1,-6.379852295E-1,-2.871502686E1
3.779444517E1,-3.929014587E1,-6.268768311E-1,-2.835809326E1
3.780445317E1,-3.919850159E1,-5.639343262E-1,-2.875335693E1
3.781446117E1,-3.935572815E1,-4.580993652E-1,-2.849566650E1
3.782446817E1,-3.928038025E1,-3.386077881E-1,-2.806707764E1
3.783447617E1,-3.947019958E1,-2.915344238E-1,-2.846917725E1
3.784448417E1,-3.947019958E1,-2.915344238E-1,-2.846917725E1
3.785449217E1,-3.958274841E1,-2.544250488E-1,-2.786877441E1
3.786449917E1,-3.958187866E1,-2.039031982E-1,-2.840826416E1
3.787450717E1,-3.949926758E1,-1.244964600E-1,-2.832543945E1
3.788451517E1,-3.957051086E1,-1.141967773E-1,-2.801818848E1
3.789452317E1,-3.962260437E1,-5.395507812E-2,-2.852563477E1
3.790453017E1,-3.960241699E1,-5.888366699E-2,-2.811041260E1
3.791453817E1,-3.950144958E1,-1.950073242E-2,-2.878582764E1
3.792454617E1,-3.947236633E1,-3.904724121E-2,-2.896978760E1
3.793455317E1,-3.928367615E1,-1.265563965E-1,-2.870367432E1
3.794456117E1,-3.933758545E1,-1.988220215E-2,-2.890423584E1
3.795456917E1,-3.926480103E1,-1.410675049E-1,-2.886053467E1
3.796457717E1,-3.926098633E1,-2.092742920E-1,-2.857708740E1
3.797458417E1,-3.939526367E1,-1.078033447E-1,-2.882244873E1
3.798459217E1,-3.947721863E1,-1.199035645E-1,-2.833862305E1
3.799460017E1,-3.959475708E1,-1.506347656E-1,-2.885400391E1
3.800460817E1,-3.961489868E1,-1.867828369E-1,-2.869744873E1
3.801461517E1,-3.974087524E1,-2.828521729E-1,-2.846582031E1
3.802462317E1,-3.980046082E1,-2.391357422E-1,-2.893103027E1
3.803463117E1,-3.994244385E1,-9.318542480E-2,-2.825054932E1
3.804463917E1,-4.011894226E1,-7.699584961E-2,-2.860363770E1
3.805464617E1,-3.998031616E1,-7.998657227E-2,-2.862640381E1
3.806465417E1,-3.989810181E1,1.437835693E-1,-2.787664795E1
3.807466217E1,-3.974226379E1,2.871704102E-1,-2.855480957E1
3.808466917E1,-3.988995361E1,3.801116943E-1,-2.839379883E1
3.809467717E1,-3.962858582E1,6.134796143E-1,-2.854028320E1
3.810468517E1,-3.977471924E1,8.949127197E-1,-2.896746826E1
3.811469317E1,-3.970216370E1,1.186950684E0,-2.860821533E1
3.812470017E1,-3.833915710E1,1.635223389E0,-2.793896484E1
3.813470817E1,-3.800749207E1,1.739028931E0,-2.790234375E1
3.814471617E1,-3.802861023E1,1.942260742E0,-2.761169434E1
3.815472417E1,-3.788851929E1,2.190628052E0,-2.842016602E1
3.816473117E1,-3.808119202E1,2.249130249E0,-2.793408203E1
3.817473917E1,-3.793258667E1,2.543899536E0,-2.829687500E1
3.818474717E1,-3.783323669E1,2.721771240E0,-2.878320312E1
3.819475517E1,-3.790144348E1,2.781204224E0,-2.847076416E1
3.820476217E1,-3.841529846E1,2.802078247E0,-2.874084473E1
3.821477017E1,-3.848716736E1,2.939666748E0,-2.823321533E1
3.822477817E1,-3.864874268E1,3.126037598E0,-2.827990723E1
3.823478517E1,-3.860011292E1,3.213394165E0,-2.849658203E1
3.824479317E1,-3.874702454E1,3.409423828E0,-2.778991699E1
3.825480117E1,-3.874702454E1,3.409423828E0,-2.778991699E1
3.826480917E1,-3.930863953E1,3.581069946E0,-2.826379395E1
3.827481617E1,-3.940132141E1,3.888610840E0,-2.830163574E1
3.828482417E1,-3.952861023E1,4.241149902E0,-2.754168701E1
3.829483217E1,-3.959086609E1,4.512100220E0,-2.766070557E1
3.830484017E1,-3.978469849E1,4.808303833E0,-2.719763184E1
3.831484717E1,-3.976353455E1,5.303726196E0,-2.724609375E1
3.832485517E1,-3.993457031E1,5.678039551E0,-2.717132568E1
3.833486317E1,-3.986738586E1,5.956665039E0,-2.670898438E1
3.834487117E1,-3.975146484E1,6.150527954E0,-2.699749756E1
3.835487817E1,-3.973381042E1,6.310791016E0,-2.693811035E1
3.836488617E1,-3.952410889E1,6.520111084E0,-2.692150879E1
3.837489417E1,-3.939030457E1,6.724090576E0,-2.723364258E1
3.838490217E1,-4.100868225E1,7.086853027E0,-2.689562988E1
3.839490917E1,-4.091134644E1,7.269012451E0,-2.739825439E1
3.840491717E1,-4.075198364E1,7.393798828E0,-2.751794434E1
3.841492517E1,-4.051261902E1,7.489181519E0,-2.708813477E1
3.842493217E1,-4.045890808E1,7.712051392E0,-2.758764648E1
3.843494017E1,-4.020266724E1,7.788162231E0,-2.733093262E1
3.844494817E1,-4.012420654E1,8.009292603E0,-2.769891357E1
3.845495617E1,-3.997695923E1,8.249511719E0,-2.789544678E1
3.846496317E1,-3.998329163E1,8.346115112E0,-2.766851807E1
3.847497117E1,-3.979890442E1,8.644836426E0,-2.776123047E1
3.848497917E1,-3.957220459E1,8.768432617E0,-2.709637451E1
3.849498717E1,-3.929379272E1,9.043457031E0,-2.707812500E1
3.850499417E1,-3.952011108E1,9.392532349E0,-2.714764404E1
3.851500217E1,-3.938369751E1,9.656463623E0,-2.636712646E1
3.852501017E1,-3.926840210E1,9.786956787E0,-2.681213379E1
3.853501717E1,-3.918524170E1,9.885894775E0,-2.699981689E1
3.854502517E1,-3.920907593E1,1.012095642E1,-2.642535400E1
3.855503167E1,-3.917956543E1,1.030126953E1,-2.660784912E1
3.856503967E1,-3.908654785E1,1.028491211E1,-2.606103516E1
3.857504667E1,-3.883299255E1,1.037115479E1,-2.642028809E1
3.858505467E1,-3.877908325E1,1.054292297E1,-2.626416016E1
3.859506267E1,-3.882386780E1,1.061827087E1,-2.562023926E1
3.860507067E1,-3.866648865E1,1.074438477E1,-2.574981689E1
3.861507767E1,-3.855152893E1,1.067544556E1,-2.525408936E1
3.862508567E1,-3.854598999E1,1.072256470E1,-2.501690674E1
3.863509367E1,-3.831852722E1,1.081033325E1,-2.511529541E1
3.864510167E1,-3.841210938E1,1.090559387E1,-2.456311035E1
3.865510867E1,-3.840000916E1,1.108612061E1,-2.499102783E1
3.866511667E1,-3.840000916E1,1.108612061E1,-2.499102783E1
3.867512467E1,-3.822595215E1,1.117581177E1,-2.471838379E1
3.868513167E1,-3.819528198E1,1.134397888E1,-2.452172852E1
3.869513967E1,-3.686787415E1,1.051933289E1,-2.412646484E1
3.870514767E1,-3.683953857E1,1.064282227E1,-2.337615967E1
3.871515567E1,-3.654740906E1,1.101869202E1,-2.371514893E1
3.872516267E1,-3.664331055E1,1.143350220E1,-2.363018799E1
3.873517067E1,-3.540679932E1,1.176747131E1,-2.357360840E1
3.874517867E1,-3.514682007E1,1.193952942E1,-2.390026855E1
3.875518667E1,-3.484786987E1,1.202871704E1,-2.355084229E1
3.876519367E1,-3.444815063E1,1.209689331E1,-2.363085938E1
3.877520167E1,-3.424066162E1,1.071260071E1,-2.475531006E1
3.878520967E1,-3.393937683E1,1.068013000E1,-2.453344727E1
3.879521767E1,-3.376144409E1,1.065852356E1,-2.509155273E1
3.880522467E1,-3.359480286E1,1.062089539E1,-2.515887451E1
3.881523267E1,-3.338270569E1,1.056524658E1,-2.464514160E1
3.882524067E1,-3.320323181E1,1.050488281E1,-2.538421631E1
3.883524767E1,-3.305027771E1,1.043179321E1,-2.466479492E1
3.884525567E1,-3.305213928E1,1.047213745E1,-2.532653809E1
3.885526367E1,-3.317959595E1,1.047576904E1,-2.501171875E1
3.886527167E1,-3.319502258E1,1.041548157E1,-2.422045898E1
3.887527867E1,-3.319772339E1,1.033082581E1,-2.425543213E1
3.888528667E1,-3.310006714E1,1.032685852E1,-2.368206787E1
3.889529467E1,-3.313403320E1,1.039460754E1,-2.333868408E1
3.890530267E1,-3.312664795E1,1.049508667E1,-2.348284912E1
3.891530967E1,-3.292753601E1,1.065390015E1,-2.295227051E1
3.892531767E1,-3.268016052E1,1.071188354E1,-2.365747070E1
3.893532567E1,-3.243670654E1,1.069787598E1,-2.387524414E1
3.894533267E1,-3.229122925E1,1.082164001E1,-2.347784424E1
3.895534067E1,-3.215969849E1,1.097131348E1,-2.377325439E1
3.896534867E1,-3.202673340E1,1.098767090E1,-2.325274658E1
3.897535667E1,-3.198786926E1,1.101580811E1,-2.366741943E1
