"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.691961083E0,-2.920210063E-1,7.096113265E-2,-2.718514681E0
2.701967083E0,-3.105538189E-1,3.144975007E-2,-2.650809288E0
2.711974083E0,-3.358586431E-1,-5.491223186E-3,-2.588315725E0
2.721980083E0,-3.528863192E-1,-1.744119637E-2,-2.542599201E0
2.731986083E0,-3.458518386E-1,6.627121009E-3,-2.486371040E0
2.741993083E0,-3.168974221E-1,6.492532790E-2,-2.409371138E0
2.751999083E0,-2.618831694E-1,1.396341920E-1,-2.327031374E0
2.762005083E0,-1.905224919E-1,1.879003644E-1,-2.233283758E0
2.772012083E0,-1.295086741E-1,1.971116960E-1,-2.135375977E0
2.782018083E0,-9.341375530E-2,1.824779958E-1,-2.041950703E0
2.792025083E0,-9.379245341E-2,1.676207632E-1,-1.954462290E0
2.802031083E0,-1.172159091E-1,1.587717086E-1,-1.868461132E0
2.812037083E0,-1.519352645E-1,1.700150371E-1,-1.782820225E0
2.822044083E0,-1.785960644E-1,1.986719966E-1,-1.693775058E0
2.832050083E0,-1.957295239E-1,2.246649861E-1,-1.612727880E0
2.842056083E0,-1.936623752E-1,2.437646687E-1,-1.526526809E0
2.852063083E0,-1.635476053E-1,2.763513625E-1,-1.414776206E0
2.862069083E0,-1.092829332E-1,2.985661924E-1,-1.276684523E0
2.872075083E0,-3.630539775E-2,2.984439433E-1,-1.127527237E0
2.882082083E0,3.303830698E-2,2.950789332E-1,-9.797239900E-1
2.892088083E0,8.241464198E-2,2.937816978E-1,-8.358477950E-1
2.902094083E0,1.085642129E-1,2.954309285E-1,-7.047634721E-1
2.912101083E0,1.205372587E-1,2.861080170E-1,-5.905194283E-1
2.922107083E0,1.255701035E-1,2.651215494E-1,-4.988750815E-1
2.932114083E0,1.000548899E-1,2.355245054E-1,-4.329775572E-1
2.942120083E0,5.817252770E-2,2.032486349E-1,-3.805522323E-1
2.952126083E0,1.713507809E-2,1.604380608E-1,-3.310653865E-1
2.962133083E0,-1.418849081E-2,1.221601814E-1,-2.796085775E-1
2.972139083E0,-3.751218691E-2,8.202927560E-2,-2.383980304E-1
2.982145083E0,-2.475719340E-2,5.827189609E-2,-1.929235309E-1
2.992152083E0,1.844753511E-2,4.462213069E-2,-1.461461633E-1
3.002158083E0,8.464787155E-2,5.084518343E-2,-9.221190959E-2
3.012164083E0,1.589202285E-1,7.960678637E-2,-4.487501830E-2
3.022171083E0,2.194895148E-1,1.112095341E-1,-4.228408448E-3
3.032177083E0,2.510543764E-1,1.384888142E-1,3.505135328E-2
3.042184083E0,2.597898543E-1,1.575338244E-1,7.133305073E-2
3.052190083E0,2.395037562E-1,1.669960320E-1,1.041258872E-1
