"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.806050732E2,-4.346935272E0,-3.037348938E1,-4.116717529E1
1.806150812E2,-4.611030579E0,-3.028781891E1,-4.129034424E1
1.806250902E2,-4.943112373E0,-3.022554016E1,-4.117297363E1
1.806350982E2,-5.005556107E0,-2.997702408E1,-4.161779785E1
1.806451062E2,-5.349465370E0,-2.989857101E1,-4.112390137E1
1.806551152E2,-5.405035019E0,-2.961624527E1,-4.093603516E1
1.806651232E2,-5.458892822E0,-2.958347702E1,-4.150189209E1
1.806751322E2,-5.571843147E0,-2.943246078E1,-4.112255859E1
1.806851402E2,-5.507820129E0,-2.928998184E1,-4.153546143E1
1.806951482E2,-5.429779053E0,-2.936922836E1,-4.149487305E1
1.807051572E2,-5.535197258E0,-2.929845810E1,-4.099127197E1
1.807151652E2,-5.516460419E0,-2.924525833E1,-4.189080811E1
1.807251742E2,-5.426911354E0,-2.934767532E1,-4.191748047E1
1.807351822E2,-5.240325928E0,-2.931313705E1,-4.208856201E1
1.807451902E2,-5.113659859E0,-2.946214676E1,-4.233880615E1
1.807551992E2,-4.855141640E0,-2.951604080E1,-4.203680420E1
1.807652072E2,-4.855141640E0,-2.951604080E1,-4.203680420E1
1.807752162E2,-4.571475983E0,-2.967031479E1,-4.258032227E1
1.807852242E2,-4.505718231E0,-2.960400772E1,-4.215612793E1
1.807952332E2,-4.267383575E0,-2.955031967E1,-4.204345703E1
1.808052412E2,-4.059444427E0,-2.949902725E1,-4.232476807E1
1.808152492E2,-3.959383011E0,-2.952785492E1,-4.192694092E1
1.808252582E2,-3.745718002E0,-2.947553253E1,-4.252899170E1
1.808352662E2,-3.618886948E0,-2.937528229E1,-4.233007812E1
1.808452752E2,-3.658035278E0,-2.937511444E1,-4.222674561E1
1.808552832E2,-3.513393402E0,-2.924148560E1,-4.263330078E1
1.808652912E2,-3.447273254E0,-2.941201782E1,-4.238574219E1
1.808753002E2,-3.527824402E0,-2.920717621E1,-4.289477539E1
1.808853082E2,-3.534528732E0,-2.910140228E1,-4.310333252E1
1.808953172E2,-3.733688354E0,-2.897682190E1,-4.214392090E1
1.809053252E2,-3.799879074E0,-2.890814209E1,-4.285076904E1
1.809153342E2,-4.014823914E0,-2.890155792E1,-4.261358643E1
1.809253422E2,-4.200462341E0,-2.872621918E1,-4.287615967E1
1.809353502E2,-4.206129074E0,-2.864643860E1,-4.312384033E1
1.809453592E2,-4.278095245E0,-2.861749268E1,-4.251580811E1
1.809553672E2,-4.276395798E0,-2.847776031E1,-4.291033936E1
1.809653762E2,-4.275640488E0,-2.852172089E1,-4.254040527E1
1.809753842E2,-4.469337463E0,-2.835150146E1,-4.224102783E1
1.809853922E2,-4.512632370E0,-2.822115326E1,-4.312646484E1
1.809954012E2,-4.541044235E0,-2.815056610E1,-4.260345459E1
1.810054092E2,-4.528312683E0,-2.803495026E1,-4.319665527E1
1.810154182E2,-4.590152740E0,-2.802910614E1,-4.325915527E1
1.810254262E2,-4.497884750E0,-2.801609039E1,-4.277081299E1
1.810354342E2,-4.584953308E0,-2.796977997E1,-4.304309082E1
1.810454432E2,-4.556060791E0,-2.803950500E1,-4.255676270E1
1.810554512E2,-4.462451935E0,-2.806119537E1,-4.285046387E1
1.810654602E2,-4.564554214E0,-2.804270935E1,-4.320928955E1
1.810754682E2,-4.854995728E0,-2.813471222E1,-4.261297607E1
1.810854772E2,-5.090705872E0,-2.820130539E1,-4.320166016E1
1.810954852E2,-5.190801620E0,-2.821714401E1,-4.258795166E1
1.811054932E2,-5.273891449E0,-2.844748306E1,-4.239215088E1
1.811155022E2,-5.469379425E0,-2.844732285E1,-4.268127441E1
1.811255102E2,-5.603928566E0,-2.857539749E1,-4.222686768E1
1.811355192E2,-5.750617981E0,-2.864237595E1,-4.251757812E1
1.811455272E2,-6.068466187E0,-2.868953323E1,-4.277508545E1
1.811555362E2,-6.177070618E0,-2.885754776E1,-4.221356201E1
1.811655442E2,-6.440371513E0,-2.874059677E1,-4.242224121E1
1.811755522E2,-6.375410080E0,-2.888595200E1,-4.191650391E1
1.811855612E2,-6.369338989E0,-2.888483810E1,-4.189355469E1
1.811955692E2,-6.546704292E0,-2.849383926E1,-4.198199463E1
1.812055782E2,-6.858775139E0,-2.836421585E1,-4.241442871E1
1.812155862E2,-6.813719749E0,-2.814445877E1,-4.193682861E1
1.812255942E2,-6.801966667E0,-2.791444016E1,-4.288458252E1
1.812356032E2,-6.554436684E0,-2.757970047E1,-4.237884521E1
1.812456112E2,-6.276157379E0,-2.731212997E1,-4.236981201E1
1.812556202E2,-5.885992050E0,-2.709241104E1,-4.300030518E1
1.812656282E2,-5.322646141E0,-2.705874634E1,-4.307501221E1
1.812756362E2,-4.896311760E0,-2.667803192E1,-4.356072998E1
1.812856452E2,-4.315496445E0,-2.658566284E1,-4.409606934E1
1.812956532E2,-3.898818970E0,-2.661470795E1,-4.380773926E1
1.813056622E2,-3.496372223E0,-2.665828705E1,-4.404602051E1
1.813156702E2,-3.306138992E0,-2.660566711E1,-4.377899170E1
1.813256792E2,-3.096225739E0,-2.638598633E1,-4.424560547E1
1.813356872E2,-3.051164627E0,-2.660859680E1,-4.430596924E1
1.813456952E2,-3.210649490E0,-2.675122833E1,-4.353436279E1
1.813557042E2,-3.593704224E0,-2.679523468E1,-4.396478271E1
1.813657122E2,-3.858255386E0,-2.699716187E1,-4.328857422E1
1.813757212E2,-4.386497498E0,-2.704436493E1,-4.258782959E1
1.813857292E2,-4.761568069E0,-2.715529633E1,-4.334118652E1
1.813957372E2,-5.056892395E0,-2.737819290E1,-4.271466064E1
