"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.958148542E0,-1.408838630E-1,-4.326306581E-1,-5.416471884E-2
1.968156542E0,-1.202362478E-1,-5.048586130E-1,-7.339852303E-2
1.978163542E0,-5.840722844E-2,-5.153088570E-1,-7.729446143E-2
1.988171958E0,1.962378435E-2,-4.847279787E-1,-5.271854624E-2
1.998179958E0,8.084399998E-2,-4.529916048E-1,-2.635431476E-2
2.008186958E0,1.021462902E-1,-4.559905827E-1,-1.087927818E-2
2.018194958E0,8.675002307E-2,-4.631760716E-1,-1.187902875E-2
2.028202958E0,5.789507553E-2,-4.567332566E-1,-3.417048138E-4
2.038209958E0,2.797685564E-2,-4.345813394E-1,1.884796843E-2
2.048217958E0,-1.133033633E-2,-3.916881084E-1,3.150583059E-2
2.058224958E0,-4.555409029E-2,-3.427029848E-1,3.788942844E-2
2.068232958E0,-7.344224304E-2,-2.958222926E-1,3.070851788E-2
2.078240958E0,-1.069131121E-1,-2.772387564E-1,7.448468357E-3
2.088247958E0,-1.577703655E-1,-2.872296572E-1,-3.180861473E-2
2.098255958E0,-2.215216607E-1,-3.160900474E-1,-8.863300830E-2
2.108263958E0,-2.844950855E-1,-3.459079564E-1,-1.459750533E-1
2.118270958E0,-3.339380026E-1,-3.459268808E-1,-1.974393129E-1
2.128278958E0,-3.535981178E-1,-3.081329167E-1,-2.422260046E-1
2.138285958E0,-3.296935856E-1,-2.128636539E-1,-2.783941329E-1
2.148293958E0,-2.602726519E-1,-8.655916154E-2,-2.975359559E-1
2.158301958E0,-1.738075316E-1,2.822148800E-2,-3.035746813E-1
2.168308958E0,-8.804261684E-2,1.261644661E-1,-3.116383851E-1
2.178316958E0,-7.253768388E-3,1.819870025E-1,-3.334049284E-1
2.188323958E0,5.535614863E-2,2.009444386E-1,-3.641576767E-1
2.198331958E0,9.135676175E-2,1.946402043E-1,-4.158544540E-1
2.208339958E0,8.437315375E-2,1.671681106E-1,-4.674201608E-1
2.218346958E0,2.714455314E-2,1.493116319E-1,-4.976385534E-1
2.228354958E0,-6.434854865E-2,1.426375657E-1,-5.127661824E-1
2.238362958E0,-1.609129012E-1,1.361564994E-1,-5.063537955E-1
2.248369958E0,-2.403088510E-1,1.089308187E-1,-4.807388186E-1
2.258377958E0,-2.915526032E-1,5.321802571E-2,-4.575147033E-1
2.268384958E0,-3.142581880E-1,-3.175977245E-2,-4.435929656E-1
2.278392958E0,-3.109982014E-1,-1.178728193E-1,-4.361712635E-1
2.288400958E0,-2.903842628E-1,-1.678921878E-1,-4.211505055E-1
2.298407958E0,-2.442143857E-1,-1.607903242E-1,-3.874503076E-1
2.308415958E0,-1.769037843E-1,-1.109619364E-1,-3.467492759E-1
2.318423958E0,-9.984149784E-2,-3.673111275E-2,-3.027519882E-1
2.328430958E0,-2.744352445E-2,2.803908288E-2,-2.670096755E-1
2.338438958E0,5.019614100E-2,7.676827163E-2,-2.399783283E-1
2.348445958E0,1.129304990E-1,8.487463742E-2,-2.086374015E-1
2.358453958E0,1.477609128E-1,6.605834514E-2,-1.675168723E-1
