"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.573859500E0,1.885123402E-1,6.491498351E-1,3.238078952E-1
1.583867500E0,2.134775519E-1,6.733737588E-1,3.831155300E-1
1.593875500E0,1.894025803E-1,5.909241438E-1,3.948153257E-1
1.603883500E0,1.367142349E-1,4.424307346E-1,3.488720357E-1
1.613891500E0,8.537860960E-2,2.653214931E-1,2.830442786E-1
1.623899500E0,5.889307708E-2,9.312091768E-2,2.247091234E-1
1.633908500E0,6.180817261E-2,-2.356149256E-2,1.928736866E-1
1.643916500E0,8.763834089E-2,-9.318695962E-2,1.960667670E-1
1.653924500E0,1.342884004E-1,-1.242247745E-1,2.290444374E-1
1.663932500E0,1.887399107E-1,-1.209985763E-1,2.809303999E-1
1.673940500E0,2.332477272E-1,-1.276841760E-1,3.258288801E-1
1.683948500E0,2.605631351E-1,-1.484084576E-1,3.395258784E-1
1.693957500E0,2.753636539E-1,-1.606890857E-1,3.240931332E-1
1.703965500E0,2.785736918E-1,-1.464597136E-1,2.933104038E-1
1.713973500E0,2.781140506E-1,-9.991617501E-2,2.674300671E-1
1.723981500E0,2.617232203E-1,-4.144751281E-2,2.519506216E-1
1.733989500E0,2.375528961E-1,2.553018555E-2,2.512126565E-1
1.743997500E0,2.203124017E-1,9.806297719E-2,2.688196003E-1
1.754006500E0,2.105177343E-1,1.459455490E-1,2.963674664E-1
1.764014500E0,2.065305412E-1,1.673914492E-1,3.205845356E-1
1.774022500E0,2.003994137E-1,1.442129016E-1,3.241449296E-1
1.784030500E0,1.844922751E-1,8.736369759E-2,3.196321726E-1
1.794038500E0,1.362413913E-1,9.875826538E-3,2.778945863E-1
1.804047500E0,7.296599448E-2,-6.604968756E-2,2.068032324E-1
1.814055500E0,1.035720669E-2,-1.417798698E-1,1.279707253E-1
1.824063500E0,-4.045658931E-2,-2.156354636E-1,4.192443937E-2
1.834071500E0,-6.792923063E-2,-2.645707726E-1,-2.326814458E-2
1.844079500E0,-7.528633624E-2,-3.039643168E-1,-5.198745802E-2
1.854087500E0,-5.232376233E-2,-3.199754953E-1,-5.196934938E-2
1.864096500E0,-1.978646405E-2,-3.143590987E-1,-3.357910365E-2
1.874104500E0,1.365691889E-3,-3.153407574E-1,-1.358584501E-3
1.884112500E0,-4.461258650E-3,-3.084667921E-1,1.006387360E-2
1.894120500E0,-1.578262262E-2,-2.939959764E-1,-3.070836887E-3
1.904128500E0,-2.104895934E-2,-2.595072091E-1,-2.113849483E-2
1.914136500E0,-1.035903115E-2,-1.935926378E-1,-3.647297621E-2
1.924145500E0,8.800064214E-3,-1.358990073E-1,-3.780707717E-2
1.934153500E0,4.532718658E-2,-6.964807212E-2,-2.689557150E-2
1.944161500E0,7.655808330E-2,-2.637246065E-2,-3.191160038E-3
1.954169500E0,8.776360005E-2,-3.021859564E-2,1.558678970E-2
1.964177500E0,6.827101856E-2,-8.185046166E-2,1.693629287E-2
1.974185500E0,1.924462058E-2,-1.547379941E-1,-3.604935016E-3
1.984194500E0,-4.374800995E-2,-2.403903008E-1,-5.057366565E-2
1.994202500E0,-1.100857556E-1,-3.229285777E-1,-1.048390344E-1
2.004210500E0,-1.799826026E-1,-4.141741991E-1,-1.573131979E-1
2.014218500E0,-2.559247613E-1,-4.807588160E-1,-1.972526312E-1
2.024226500E0,-3.322487473E-1,-5.177187920E-1,-2.042142004E-1
2.034234500E0,-3.920873106E-1,-5.520767570E-1,-1.774006933E-1
2.044242500E0,-3.995997012E-1,-5.648964047E-1,-1.131958514E-1
2.054251500E0,-3.413132429E-1,-5.763365626E-1,-3.929765895E-2
2.064259500E0,-2.671129704E-1,-6.685953140E-1,-1.411343459E-2
2.074267500E0,-2.226709425E-1,-8.253841400E-1,-7.906740159E-2
2.084275500E0,-2.132537663E-1,-9.852244258E-1,-2.115747184E-1
2.094283500E0,-1.995531321E-1,-1.045511365E0,-3.433679044E-1
2.104291500E0,-1.473846883E-1,-9.437261820E-1,-4.210545719E-1
2.114300500E0,-5.219318718E-2,-6.614292264E-1,-4.047448337E-1
2.124308500E0,2.786315978E-2,-2.777931094E-1,-3.171651363E-1
2.134316500E0,4.831330851E-2,6.937976927E-2,-2.049826533E-1
2.144324500E0,1.619732194E-2,3.024411798E-1,-1.267568767E-1
2.154332500E0,-3.502964973E-2,4.162196815E-1,-1.059839576E-1
2.164340500E0,-1.003829911E-1,4.133524001E-1,-1.336626709E-1
2.174349500E0,-1.842555255E-1,3.221308589E-1,-2.185970098E-1
2.184357500E0,-2.529452741E-1,1.960792392E-1,-2.989461422E-1
2.194365500E0,-3.100168407E-1,6.163088232E-2,-3.674397171E-1
2.204373500E0,-3.313216269E-1,-1.313018985E-2,-4.088052511E-1
2.214381500E0,-3.060644567E-1,-1.563329436E-2,-3.990556896E-1
2.224389500E0,-2.370741665E-1,4.361140355E-2,-3.412499130E-1
2.234398500E0,-1.394946128E-1,1.555083841E-1,-2.519019246E-1
2.244406500E0,-4.687536880E-2,2.535167336E-1,-1.659528911E-1
2.254414500E0,1.654860936E-2,3.072673380E-1,-1.085998490E-1
2.264422500E0,4.924018309E-2,3.317816854E-1,-9.492827207E-2
2.274430500E0,4.659060389E-2,3.465470374E-1,-1.142186150E-1
2.284438500E0,2.590091154E-2,3.674671054E-1,-1.356059909E-1
2.294447500E0,-2.194372937E-3,3.774097562E-1,-1.389503777E-1
2.304455500E0,-3.231585026E-2,3.759273887E-1,-1.226041988E-1
2.314463500E0,-5.264535919E-2,3.348542750E-1,-9.952098131E-2
2.324471500E0,-3.668968752E-2,2.711784542E-1,-8.135110885E-2
2.334479500E0,2.264369512E-3,2.111596167E-1,-6.265810877E-2
2.344487500E0,4.855400696E-2,1.330892593E-1,-5.254878849E-2
2.354496500E0,1.096988544E-1,8.822351694E-2,-4.617158324E-2
2.364504500E0,1.558026224E-1,7.456585765E-2,-2.975498326E-2
2.374512500E0,1.757315993E-1,7.971188426E-2,-2.197056264E-2
2.384520500E0,1.536232382E-1,9.304759651E-2,-1.654495485E-2
2.394528500E0,1.020631045E-1,1.014381498E-1,-1.247005258E-2
2.404536500E0,3.177468106E-2,1.030148938E-1,-1.943974383E-2
2.414545500E0,-5.521135032E-2,6.814745814E-2,-2.638659999E-2
2.424553167E0,-1.236194670E-1,5.439585820E-2,-3.942413256E-2
2.434561167E0,-1.652995199E-1,9.588231891E-2,-3.339606896E-2
2.444569167E0,-1.802792251E-1,1.398778111E-1,-2.691776864E-2
2.454577167E0,-1.554851979E-1,2.122838348E-1,-1.404005382E-2
2.464585167E0,-1.169775054E-1,3.089250922E-1,2.077982947E-2
2.474593167E0,-7.385133952E-2,4.041624069E-1,8.541794121E-2
2.484602167E0,-2.972143330E-2,4.667139947E-1,1.542939544E-1
2.494610167E0,-9.896539850E-4,4.618350863E-1,2.089942247E-1
2.504618167E0,2.063872479E-2,3.773316741E-1,2.377163023E-1
2.514626167E0,3.883104026E-2,2.096385211E-1,2.338078469E-1
2.524634167E0,8.364581317E-2,2.554981038E-2,2.055134326E-1
2.534642167E0,1.502285600E-1,-1.454166174E-1,1.605624706E-1
2.544651167E0,2.308186442E-1,-2.858792543E-1,1.189996600E-1
2.554659167E0,3.126391768E-1,-3.314771056E-1,9.999827296E-2
2.564667167E0,3.590418994E-1,-2.956072092E-1,9.845832735E-2
2.574675167E0,3.585399091E-1,-2.231463194E-1,9.538210928E-2
2.584683167E0,2.848547995E-1,-1.252713948E-1,7.017026097E-2
2.594691167E0,1.185015291E-1,-1.169519424E-1,7.302345708E-3
2.604700167E0,-1.161590889E-1,-2.309492826E-1,-9.297229350E-2
2.614708167E0,-3.379569948E-1,-3.692384660E-1,-1.926898211E-1
2.624716167E0,-4.558680952E-1,-4.375110269E-1,-2.615663111E-1
2.634724167E0,-4.417770505E-1,-3.819524348E-1,-2.756584287E-1
2.644732167E0,-2.959727943E-1,-1.829550564E-1,-2.217148095E-1
2.654740167E0,-7.933715731E-2,9.368958324E-2,-1.091443151E-1
2.664748167E0,1.090690643E-1,3.314880133E-1,3.171907738E-2
2.674757167E0,2.098638564E-1,4.606723785E-1,1.506350785E-1
2.684765167E0,2.235733122E-1,4.772149920E-1,2.227235585E-1
2.694773167E0,1.725309044E-1,4.130809903E-1,2.302595079E-1
2.704781167E0,8.097653836E-2,2.930041850E-1,1.895676404E-1
2.714789167E0,-7.153320592E-3,1.568333060E-1,1.291730106E-1
2.724797167E0,-6.467158347E-2,2.914734930E-2,6.377941370E-2
